index,sub_id,group_id,phase_id,trial,mt,good
1,101,1,1,1,,1
2,101,1,1,2,15.09,0
3,101,1,1,3,15.823,0
4,101,1,1,4,17.535,0
5,101,1,1,5,13.908,0
6,101,1,2,1,14.804,0
7,101,1,2,2,14.633,0
8,101,1,2,3,11.995,0
9,101,1,2,4,,1
10,101,1,2,5,13.239,0
11,101,1,2,6,14.751,0
12,101,1,2,7,12.086,0
13,101,1,2,8,10.118,0
14,101,1,2,9,11.351,0
15,101,1,2,10,11.819,0
16,101,1,2,11,10.417,0
17,101,1,2,12,9.743,0
18,101,1,2,13,13.162,0
19,101,1,2,14,10.158,0
20,101,1,2,15,13.169,0
21,101,1,2,16,11.442,0
22,101,1,2,17,11.749,0
23,101,1,2,18,10.674,0
24,101,1,2,19,13.533,0
25,101,1,2,20,10.913,0
26,101,1,2,21,11.332,0
27,101,1,2,22,9.351,0
28,101,1,2,23,11.307,0
29,101,1,2,24,12.666,0
30,101,1,2,25,11.389,0
31,101,1,2,26,10.738,0
32,101,1,2,27,11.328,0
33,101,1,2,28,9.597,0
34,101,1,2,29,10.149,0
35,101,1,2,30,8.223,0
36,101,1,3,1,13.397,0
37,101,1,3,2,11.869,0
38,101,1,3,3,10.472,0
39,101,1,3,4,12.315,0
40,101,1,3,5,9.822,0
41,102,1,1,1,18.282,0
42,102,1,1,2,14.538,0
43,102,1,1,3,11.961,0
44,102,1,1,4,11.131,0
45,102,1,1,5,11.519,0
46,102,1,2,1,13.752,0
47,102,1,2,2,10.442,0
48,102,1,2,3,10.746,0
49,102,1,2,4,11.714,0
50,102,1,2,5,8.984,0
51,102,1,2,6,10.987,0
52,102,1,2,7,10.62,0
53,102,1,2,8,11.864,0
54,102,1,2,9,11.716,0
55,102,1,2,10,8.598,0
56,102,1,2,11,8.908,0
57,102,1,2,12,11.44,0
58,102,1,2,13,10.853,0
59,102,1,2,14,14.253,0
60,102,1,2,15,11.148,0
61,102,1,2,16,8.059,0
62,102,1,2,17,9.789,0
63,102,1,2,18,8.881,0
64,102,1,2,19,8.37,0
65,102,1,2,20,9.643,0
66,102,1,2,21,16.539,0
67,102,1,2,22,7.96,0
68,102,1,2,23,7.847,0
69,102,1,2,24,8.91,0
70,102,1,2,25,10.66,0
71,102,1,2,26,7.739,0
72,102,1,2,27,13.009,0
73,102,1,2,28,8.557,0
74,102,1,2,29,8.524,0
75,102,1,2,30,8.355,0
76,102,1,3,1,11.603,0
77,102,1,3,2,8.549,0
78,102,1,3,3,8.5,0
79,102,1,3,4,9.25,0
80,102,1,3,5,11.063,0
81,103,1,1,1,15.913,0
82,103,1,1,2,,1
83,103,1,1,3,12.909,0
84,103,1,1,4,16.477,0
85,103,1,1,5,15.586,0
86,103,1,2,1,,1
87,103,1,2,2,11.562,0
88,103,1,2,3,14.134,0
89,103,1,2,4,11.851,0
